"year","CAN_rec_catch_lbs","CAN_comm_catch_lbs","CAN_FSC_catch_lbs","US_comm_catch_lbs","US_rec_catch_lbs","total_catch_lbs"
1918,1984.158,37699.002,1543.234,NA,NA,41226.394
1919,1984.158,93696.35,1543.234,NA,NA,97223.742
1920,1984.158,46958.406,1543.234,NA,NA,50485.798
1921,1984.158,40565.008,1543.234,160.893,NA,44253.293
1922,1984.158,50926.722,1543.234,51.725,NA,54505.839
1923,1984.158,48060.716,1543.234,52.936,NA,51641.044
1924,1984.158,55776.886,1543.234,120.875,NA,59425.153
1925,1984.158,47619.792,1543.234,69.157,NA,51216.341
1926,1984.158,55335.962,1543.234,164.265,NA,59027.619
1927,1984.158,55335.962,1543.234,567.461,NA,59430.815
1928,1984.158,55997.348,1543.234,142.475,NA,59667.215
1929,1984.158,73193.384,1543.234,223.537,NA,76944.313
1930,1984.158,67461.372,1543.234,585.238,NA,71574.002
1931,1984.158,43210.552,1543.234,234.965,NA,46972.909
1932,1984.158,50485.798,1763.696,91.5,NA,54325.152
1933,1984.158,24250.82,1763.696,5.6,NA,28004.274
1934,1984.158,28660.06,1984.158,NA,NA,32628.376
1935,1984.158,36596.692,2204.62,866.28,NA,41651.75
1936,1984.158,39683.16,2425.082,756.68,NA,44849.08
1937,1984.158,31085.142,2425.082,749.25,NA,36243.632
1938,1984.158,108026.38,2645.544,693.79,584.432043851589,113934.304043852
1939,1984.158,20723.428,2866.006,669.14,580.758951286845,26823.4909512868
1940,1984.158,22487.124,2866.006,270.26,801.575097152157,28409.1230971522
1941,1984.158,13889.106,3086.468,312.53,NA,19272.262
1942,1984.158,31966.99,3086.468,0,690.314709406104,37727.9307094061
1943,1984.158,185188.08,3306.93,2274.36,718.823281475973,193472.351281476
1944,1984.158,275577.5,3306.93,3341.71,747.331853545841,284957.629853546
1945,1984.158,295419.08,3527.392,2127.56,775.84042561571,303834.030425616
1946,2204.62,198415.8,3527.392,2611.67,804.348997685578,207563.830997686
1947,4409.24,63713.518,3527.392,1533.85,873.075019639726,74057.0750196397
1948,6834.322,96562.356,3747.854,2379.6,1308.10310238482,110832.235102385
1949,9038.942,130072.58,3747.854,1589.91,1743.13118512991,146192.41718513
1950,11243.562,55115.5,3747.854,1010.07,1366.49731237186,72483.4833123719
1951,13448.182,39683.16,3968.316,636.75,1551.39831091894,59287.8063109189
1952,15873.264,30423.756,3968.316,1392.04,1605.50223535029,53262.8782353503
1953,18077.884,64154.442,4188.778,1548.77,1659.60615978164,89629.4801597816
1954,20282.504,39683.16,4188.778,1466.61,1759.72554978891,67380.7775497889
1955,22487.124,39462.698,4409.24,420,1859.84493979619,68638.9069397962
1956,24912.206,37478.54,4629.702,240,1959.96432980347,69220.4123298035
1957,27116.826,64595.366,4629.702,624,2013.41790243447,98979.3119024345
1958,29321.446,93916.812,4850.164,1380,1751.2408557205,131219.66285572
1959,31526.066,98766.976,5070.626,37.5,1679.96942554583,137081.137425546
1960,33951.148,77602.624,5070.626,470,1622.73592170735,118717.133921707
1961,37919.464,59304.278,5291.088,520.5,2127.96127235805,105163.291272358
1962,37919.464,93916.812,5291.088,254.5,2204.71296643151,139586.576966432
1963,37919.464,72531.998,5291.088,50,3034.81640449235,118827.366404492
1964,37919.464,43210.552,5291.088,539.5,2549.57123566865,89510.1752356686
1965,37919.464,39462.698,5511.55,65,2064.32606684495,85023.038066845
1966,37919.464,31746.528,5511.55,29.5,6327.46662899508,81534.5086289951
1967,37919.464,48060.716,5511.55,13.5,1583.48303780159,93088.7130378016
1968,37919.464,52029.032,5511.55,1,6500.79889225328,101961.844892253
1969,37919.464,60627.05,5511.55,89.5,3079.07756202606,107226.641562026
1970,40124.084,76720.776,5511.55,1955,3576.79135252688,127888.201352527
1971,42108.242,64154.442,5511.55,204.5,1023.06482213619,113001.798822136
1972,44092.4,71870.612,5511.55,1798.5,16364.4664119391,139637.528411939
1973,46076.558,85759.718,5732.012,2372.5,11053.9551873689,150994.743187369
1974,48060.716,42769.628,5732.012,4688,6195.49965598921,107445.855655989
1975,50044.874,34171.61,5732.012,8357.5,4257.07766968163,102563.073669682
1976,52029.032,42328.704,5732.012,5999,6088.45341069105,112177.201410691
1977,54013.19,117065.322,5952.474,5162,6567.52311485985,188760.50911486
1978,55997.348,132718.124,5952.474,6547.5,13071.0564007454,214286.502400745
1979,57981.506,209438.9,5952.474,6014,16660.541433742,296047.421433742
1980,59965.664,154323.4,5952.474,9161.5,16741.3010256417,246144.339025642
1981,35053.458,178574.22,5952.474,7068,3908.68274030416,230556.834740304
1982,73641.4311051738,121033.638,6172.936,6325,17509.9263436637,224682.931448838
1983,65109.1445118598,113537.93,6172.936,4231,12257.700691354,201308.711203214
1984,48552.4354589252,164905.576,6393.398,1625,6615.38051760718,228091.789976532
1985,54770.9610825058,263672.552,6393.398,1691,5056.4864833095,331584.397565815
1986,70836.5208132934,299828.32,6834.322,1573.5,6497.76005297854,385570.422866272
1987,47668.0502940444,288805.22,7936.632,2785,6517.13704882389,353712.039342868
1988,72456.8745593748,383603.88,8377.556,12824.5,6115.71342980006,483378.523989175
1989,79711.5655422966,383603.88,8818.48,10313,4683.06163193903,487129.987174236
1990,64623.2864981748,383603.88,9259.404,7113,3349.86093181386,467949.431429989
1991,73390.3271358862,319669.9,9700.328,4566.5,3290.73839878012,410617.793534666
1992,57944.179358318,96562.356,9920.79,5067,2670.90300859215,172165.22836691
1993,37503.7580308864,123017.796,10361.714,2102.5,2984.82269428682,175970.590725173
1994,58685.198547569,266979.482,10582.176,551.5,1974.38255932863,338772.739106898
1995,46757.5232743124,133820.434,10802.638,709,2036.22317611002,194125.818450422
1996,43616.0042814936,57981.506,11023.1,155.5,2227.39001904308,115003.500300537
1997,34477.6428041122,46076.558,11243.562,12.5,1881.00381764187,93691.2666217541
1998,31497.217224528,71209.226,11464.024,9,1627.05876335615,115806.525987884
1999,25074.8976304574,44092.4,11684.486,95.5,960.623496740579,81907.907127198
2000,35264.5724112,55115.5,11904.948,33.5,570.083120827228,102888.603532027
2001,48488.7870654,61729.36,12125.41,88,452.796439845687,122884.353505246
2002,18466.6907832,15652.802,12345.872,3,255.761269299005,46724.126052499
2003,20843.6459286,23368.972,12566.334,0,1231.08769092122,58010.0396195212
2004,16940.6087268,21384.814,13007.258,0,44.7557825932753,51377.4365093933
2005,8536.178409,23809.896,5952.474,0,223.056849218192,38521.6052582182
2006,13570.0533936,9038.942,5952.474,0,88.573098910665,28650.0424925107
2007,5220.5181138,16579.1171854,6172.936,0,376.453702017762,28349.0250012178
2008,9809.7432906,20828.3017734,6172.936,0,67.1812551057359,36878.1623191057
2009,9107.0868042,14231.9685024,6172.936,0,277.383390973238,29789.3746975732
2010,10150.0925262,14368.390388,6172.936,0,48.6856144771659,30740.1045286772
2011,10550.8263036,14878.649687,6172.936,20,18.3868998717383,31640.7988904717
2012,11182.1192406,11249.3821968,6172.936,0,56.0467753393268,28660.4842127393
2013,24565.529505,11324.9345242,6172.936,0,1.46252364904794,42064.862552849
2014,4188.4913994,11173.5873612,6172.936,0,37.9492074533821,21572.9639680534
2015,13460.2633176,12097.6979266,6172.936,0,0,31730.8972442
2016,19674.3816192,9456.0781502,6172.936,20,75.8568431850764,35399.2526125851
2017,22715.5667244,15440.607325,6172.936,0,414.76082264831,44743.8708720483
2018,17160.1888788,5987.086534,6172.936,53,41.7481684279611,29414.959581228
2019,10759.427448,6081.0694846,6172.936,9,90.8381476911017,23113.2710802911
